,Open_time,Open,High,Low,Close,Volume,Close_time
0,1623176100000,343.91,345.3,343.08,343.49,38989.8377,1623176999999
1,1623177000000,343.5,345.89,342.51,345.42,34554.0203,1623177899999
2,1623177900000,345.43,349.14,345.27,347.64,52159.8241,1623178799999
3,1623178800000,347.62,348.39,345.0,346.03,43431.2434,1623179699999
4,1623179700000,346.0,346.55,343.86,344.6,33258.7438,1623180599999
5,1623180600000,344.6,349.0,344.6,348.01,40437.4635,1623181499999
6,1623181500000,348.01,349.18,345.73,347.7,28375.3091,1623182399999
7,1623182400000,347.83,348.68,345.4,346.37,29153.9823,1623183299999
8,1623183300000,346.34,351.25,345.26,350.46,41441.2225,1623184199999
9,1623184200000,350.44,353.82,348.58,353.37,49400.7271,1623185099999
10,1623185100000,353.35,355.95,352.6,353.27,69121.1502,1623185999999
11,1623186000000,353.24,353.99,351.12,352.51,40029.1434,1623186899999
12,1623186900000,352.72,352.74,349.61,351.49,30676.4905,1623187799999
13,1623187800000,351.52,352.9,349.67,352.25,19641.8116,1623188699999
14,1623188700000,352.14,355.43,352.01,352.02,22056.4515,1623189599999
15,1623189600000,352.06,353.2,350.77,351.28,14619.9395,1623190499999
16,1623190500000,351.35,354.46,351.34,353.8,11727.9781,1623191399999
17,1623191400000,353.81,355.45,351.5,351.82,18082.421,1623192299999
18,1623192300000,351.83,353.33,349.38,351.47,23468.6675,1623193199999
19,1623193200000,351.47,355.5,351.4,354.2,20560.2298,1623194099999
20,1623194100000,354.21,354.4,351.35,351.77,16106.0453,1623194999999
21,1623195000000,351.79,354.4,350.8,353.39,19927.4932,1623195899999
22,1623195900000,353.4,354.71,351.67,352.5,15847.0181,1623196799999
23,1623196800000,352.5,354.29,345.66,345.95,45701.4379,1623197699999
24,1623197700000,345.79,348.15,342.62,344.14,43021.8827,1623198599999
25,1623198600000,344.14,347.23,344.0,345.24,21735.1625,1623199499999
26,1623199500000,345.25,345.4,341.24,342.03,28279.8899,1623200399999
27,1623200400000,342.02,343.61,339.01,340.79,32512.8851,1623201299999
28,1623201300000,340.79,343.21,340.41,342.34,18339.5057,1623202199999
29,1623202200000,342.34,342.34,337.22,337.82,28118.2335,1623203099999
30,1623203100000,337.82,339.09,335.33,336.0,32328.9999,1623203999999
31,1623204000000,336.07,339.36,335.28,335.99,21824.747,1623204899999
32,1623204900000,336.15,337.34,333.56,335.8,25422.219,1623205799999
33,1623205800000,335.82,338.0,333.56,337.61,24779.6389,1623206699999
